cohort,refi_bin,n_atrisk,n_prepay,smm,cpr
boom,<-1.5,197903617,4,2e-08,0.0
boom,-1.5..-1,19762793,215,1.088e-05,0.000131
boom,-1..-0.5,28111525,4658,0.0001657,0.001987
boom,-0.5..0,54463435,40278,0.00073954,0.008838
boom,0..0.5,61792010,79124,0.00128049,0.015258
boom,0.5..1,43992750,28547,0.0006489,0.007759
boom,1..1.5,25915346,9272,0.00035778,0.004285
boom,1.5..2,14197432,824,5.804e-05,0.000696
boom,>2,9068711,5,5.5e-07,7e-06
pre2020,<-1.5,7373437,2369,0.00032129,0.003849
pre2020,-1.5..-1,24762006,11670,0.00047129,0.005641
pre2020,-1..-0.5,59166136,47497,0.00080277,0.009591
pre2020,-0.5..0,87797926,103096,0.00117424,0.014
pre2020,0..0.5,92361241,215644,0.00233479,0.02766
pre2020,0.5..1,71946429,107311,0.00149154,0.017752
pre2020,1..1.5,34616192,25199,0.00072795,0.008701
pre2020,1.5..2,14611226,1992,0.00013633,0.001635
pre2020,>2,8616929,40,4.64e-06,5.6e-05
