coupon,forecast_cpr,realized_cpr,n_loans,n_prepaid,cutoff_year,forecast_year
1.0,25.9896,0.0,3229,0,2021,2022
1.5,24.2704,0.0723,47019,34,2021,2022
2.0,30.0028,0.2547,514649,1311,2021,2022
2.5,36.3764,0.487,669364,3260,2021,2022
3.0,40.4283,1.6991,728131,12372,2021,2022
3.5,50.689,4.1845,274940,11505,2021,2022
4.0,47.0946,6.1967,273001,16917,2021,2022
4.5,62.7332,8.5574,69063,5910,2021,2022
5.0,80.127,11.1915,35679,3993,2021,2022
5.5,89.5222,13.0748,4719,617,2021,2022
6.0,88.9003,13.5524,974,132,2021,2022
6.5,80.6822,0.0,1,0,2021,2022
